set,stage,route,distance_mi,distance_km,confidence,gain_ft_min,gain_ft_max,gain_ft_avg,gain_m_min,gain_m_max,gain_m_avg,loss_ft_min,loss_ft_max,loss_ft_avg,loss_m_min,loss_m_max,loss_m_avg
1,1,Theth (AL) → Valbona (AL),8.64,13.9,High,3504,3504,3504,1068,1068,1068,2598,2598,2598,792,792,792
1,2,Valbona (AL) → Çerem (AL),9.38,15.1,High,3888,3888,3888,1185,1185,1185,3330,3330,3330,1015,1015,1015
1,3,Çerem (AL) → Dobërdol (AL),9.69,15.6,High,3379,3379,3379,1030,1030,1030,1444,1444,1444,440,440,440
1,4,Dobërdol (AL) → Milishevc (RKS),11.31,18.2,Medium,3002,3002,3002,915,915,915,3215,4100,3657.5,980,1250,1115
1,5,Milishevc (RKS) → Rekë e Allagës (RKS),10.00,16.1,High,2822,2822,2822,860,860,860,4190,4757,4473.5,1277,1450,1363.5
1,6,Rekë e Allagës (RKS) → Kuqishtë (RKS),14.35,23.1,Low,3773,4100,3936.5,1150,1250,1200,3609,3609,3609,1100,1100,1100
1,7,Kuqishtë (RKS) → Babino Polje (MNE),9.82,15.8,Medium,3773,3773,3773,1150,1150,1150,3609,3609,3609,1100,1100,1100
1,8,Babino Polje (MNE) → Plav (MNE),12.61,20.3,High,2362,2362,2362,720,720,720,4101,4101,4101,1250,1250,1250
1,9,Plav (MNE) → Vusanje (MNE),17.03,27.4,Medium,3609,4100,3854.5,1100,1250,1175,3280,3609,3444.5,1000,1100,1050
1,10,Vusanje (MNE) → Theth (AL),13.24,21.3,High,3609,3609,3609,1100,1100,1100,4593,4593,4593,1400,1400,1400
1,Total,,106.69,171.7,,34131,34131,34131,10403,10403,10403,34862,34862,34862,10626,10626,10626
